"","month","monMaxsd","monMax","monMinsd","monMin","monMeansd","monMean","precipsd","precip"
"1","01",2.67843973403678,-0.0758620689655172,3.20584441663118,-7.66206896551724,2.9134265371195,-3.86551724137931,28.7647734584896,58.8172413793103
"2","02",2.72130800193203,1.98620689655172,2.66582550362239,-6.26551724137931,2.65484963811234,-2.14137931034483,25.5799321937038,51.5689655172414
"3","03",2.20803503577543,8.3551724137931,1.83380946198266,-1.9,1.94276477612949,3.21724137931034,24.9350930817407,60.5379310344828
"4","04",1.8707299489429,15.5034482758621,1.45688445501726,3.84137931034483,1.56671033723154,9.66206896551724,39.1732962980797,85.3
"5","05",2.2996358675131,21.2758620689655,1.82236380896262,9.26206896551724,1.98150313646054,15.2724137931034,51.9055947229853,96.6172413793103
"6","06",1.50269872172564,26.7103448275862,1.35925037294631,15.0448275862069,1.30139182787321,20.8827586206897,59.6243036538532,95.151724137931
"7","07",1.72117356000065,28.6620689655172,1.46862088049993,17.4551724137931,1.51643703489073,23.0620689655172,48.9466299780373,97.548275862069
"8","08",1.6454445249625,27.5034482758621,1.59631657292193,16.6413793103448,1.59091478471248,22.0620689655172,54.1212652723475,95.9724137931035
"9","09",1.63606219545259,23.6206896551724,1.03603782953928,12.0862068965517,1.24802306723661,17.8551724137931,68.8843081289486,90.5172413793103
"10","10",1.72158850921871,16.7379310344828,1.53587638049344,6.00344827586207,1.53950443053134,11.3689655172414,49.2259726090846,89.4068965517241
"11","11",2.48806510772841,9.27586206896552,1.73206502796048,0.817241379310345,2.0358607673511,5.04827586206897,37.7972162553044,83.1206896551724
"12","12",2.88442821168674,1.92758620689655,3.14221612361207,-5.30689655172414,2.97332558335453,-1.69310344827586,24.0280034696792,66.2931034482759
