"","year","month","monMax","monMin","monMean","precip","EMXT","EMNT"
"1","2012","01",2.8,-5.6,-1.4,75.5,133,-161
"2","2012","02",4.3,-4.1,0.1,58.5,189,-106
"3","2012","03",17.1,6,11.5,42.4,294,-67
"4","2012","04",16.1,3.4,9.7,56.5,261,-28
"5","2012","05",24.8,11.5,18.2,54.4,361,33
"6","2012","06",28.9,15,22,39.2,378,83
"7","2012","07",32.5,20.3,26.4,164.7,389,144
"8","2012","08",27,15.4,21.2,133.6,333,83
"9","2012","09",23.1,11.3,17.2,51.7,322,28
"10","2012","10",15.3,5.6,10.4,111.7,267,-6
"11","2012","11",9.8,-0.8,4.5,6.6,206,-61
"12","2012","12",5.8,-1,2.4,87.3,183,-94
